,Player,Pos,Age,Club,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
25,Squad Total,,26.3,,7.0,77,660.0,7.3,16.0,12.0,14.0,2.0,2.0,8.0,0.0,2.18,1.64,3.82,1.91,3.55,13.8,12.2,10.3,22.5,1.88,1.4,3.29,1.67,3.07,,France,
26,Opponent Total,,26.8,,7.0,77,660.0,7.3,8.0,4.0,5.0,3.0,4.0,15.0,0.0,1.09,0.55,1.64,0.68,1.23,9.9,6.8,4.4,11.1,1.35,0.59,1.95,0.92,1.52,,France,
0,Joško Gvardiol,DF,20.0,1.de RB Leipzig,7.0,7,690.0,7.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.1,0.1,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches,Croatia,
1,Dominik Livaković,GK,27.0,1.hr Dinamo Zagreb,7.0,7,690.0,7.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Croatia,
2,Ivan Perišić,"FW,DF",33.0,1.eng Tottenham,7.0,7,669.0,7.4,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.13,0.4,0.54,0.13,0.54,0.9,0.9,0.9,1.8,0.13,0.12,0.25,0.13,0.25,Matches,Croatia,
3,Luka Modrić,MF,36.0,1.es Real Madrid,7.0,7,653.0,7.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.1,0.06,0.11,0.16,0.06,0.16,Matches,Croatia,
4,Mateo Kovačić,MF,28.0,1.eng Chelsea,7.0,7,635.0,7.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,0.05,0.14,0.18,0.05,0.18,Matches,Croatia,
5,Andrej Kramarić,"FW,MF",30.0,1.de Hoffenheim,7.0,7,474.0,5.3,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,1.6,1.6,0.2,1.9,0.31,0.04,0.36,0.31,0.36,Matches,Croatia,
6,Josip Juranović,DF,26.0,1.sct Celtic,6.0,6,600.0,6.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.3,0.4,0.01,0.05,0.06,0.01,0.06,Matches,Croatia,
7,Dejan Lovren,DF,32.0,1.ru Zenit,6.0,6,600.0,6.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.15,0.0,0.15,0.3,0.3,0.0,0.3,0.04,0.01,0.05,0.04,0.05,Matches,Croatia,
8,Marcelo Brozović,MF,29.0,1.it Inter,6.0,6,552.0,6.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.09,0.03,0.12,0.09,0.12,Matches,Croatia,
9,Borna Sosa,DF,24.0,1.de Stuttgart,5.0,5,424.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.01,0.08,0.09,0.01,0.09,Matches,Croatia,
10,Marko Livaja,FW,28.0,1.hr Hajduk Split,6.0,3,241.0,2.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37,0.37,0.75,0.37,0.75,0.8,0.8,0.1,0.9,0.31,0.03,0.34,0.31,0.34,Matches,Croatia,
11,Mario Pašalić,"FW,MF",27.0,1.it Atalanta,7.0,2,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.1,0.07,0.17,0.1,0.17,Matches,Croatia,
12,Bruno Petković,FW,27.0,1.hr Dinamo Zagreb,6.0,1,234.0,2.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.38,0.0,0.38,0.38,0.38,0.1,0.1,0.3,0.5,0.05,0.15,0.2,0.05,0.2,Matches,Croatia,
13,Nikola Vlašić,"FW,MF",24.0,1.it Torino,6.0,1,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.25,0.0,0.25,0.25,0.25,Matches,Croatia,
