,Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,
11,Assim Madibo,MF,25.0,1.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
12,Bassam Al-Rawi,DF,24.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
13,Saad Al Sheeb,GK,32.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
14,Mohammed Muntari,"FW,MF",28.0,0.7,1,3,1,33.3,4.29,1.43,0.33,1.0,13.7,0.0,0,0,0.2,0.2,0.07,0.8,0.8,Matches,Qatar
15,Mohammed Waad,"MF,DF",22.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
16,Ali Assadalla,MF,29.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
17,Tarek Salman,DF,24.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
18,Ahmed Alaaeldin,FW,29.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
19,Musab Kheder,DF,28.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Qatar
20,Squad Total,,28.2,3.0,1,20,6,30.0,6.67,2.0,0.05,0.17,21.5,0.0,0,0,1.4,1.4,0.07,-0.4,-0.4,,Qatar
21,Opponent Total,,26.5,3.0,7,31,11,35.5,10.33,3.67,0.19,0.55,16.1,0.0,1,1,3.5,2.8,0.1,3.5,3.2,,Qatar
